,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
1159,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1160,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1162,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1163,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1164,3.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1165,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1166,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1167,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1168,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1169,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1170,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
1171,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1172,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1173,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1174,2.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1175,4.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1176,2.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1177,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1181,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1182,3.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1183,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1184,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1185,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1187,4.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1188,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1189,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1190,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1191,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1194,4.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1196,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1197,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1198,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1199,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1200,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1201,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1204,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1205,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1206,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1208,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1210,1.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1211,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1212,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1213,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1214,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1215,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1216,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1217,3.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1220,7.0,Medium (5-7),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1221,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1222,9.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
1223,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
1227,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1228,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1230,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1231,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1232,1.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1233,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1234,3.0,Low (1-4),Yale-NUS College,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1235,3.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1236,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1237,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1238,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1239,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1240,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1242,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1243,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1245,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1246,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1249,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1250,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1251,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1252,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1253,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1255,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1256,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1257,3.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1261,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1262,3.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1263,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1265,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1267,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1268,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1270,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1272,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1273,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1276,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1277,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1278,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1279,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1280,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1281,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1282,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1284,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1285,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1286,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1287,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1288,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1290,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1291,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1294,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1295,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1296,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1297,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1298,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1299,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1300,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1302,1.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1303,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1304,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1306,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1307,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1308,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1309,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1310,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1312,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1313,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1314,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1315,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1316,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1317,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1318,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1320,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1321,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1322,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1323,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1324,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1326,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1327,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1329,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1330,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1331,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1332,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1334,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1335,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1337,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1339,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1340,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1342,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1343,9.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1344,9.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1345,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1346,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1347,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1350,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1352,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1353,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1354,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1355,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1356,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1357,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1358,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1360,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1361,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1365,7.0,Medium (5-7),Others,I’m familiar with the organisation and would consider them as a potential employer
1367,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1368,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1369,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1370,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1373,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1375,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1376,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1377,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1378,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1379,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1380,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1381,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1382,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1383,2.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1385,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1386,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1387,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1389,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1390,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1391,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1392,3.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1393,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1394,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1395,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1396,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1398,5.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1399,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1401,7.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1402,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1403,10.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1404,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1405,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1408,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1409,6.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1410,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1413,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1415,1.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1416,1.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1417,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1418,5.0,Medium (5-7),Yale-NUS College,I’m familiar with the organisation and would consider them as a potential employer
1419,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1420,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1421,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1423,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1424,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1425,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1428,9.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1429,10.0,High (8-10),Yale-NUS College,I’m familiar with the organisation and would consider them as a potential employer
1430,2.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1431,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1434,7.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1436,7.0,Medium (5-7),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
1438,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1439,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1440,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1441,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1443,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1444,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1448,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1449,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1453,1.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1454,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1456,2.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1460,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1463,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1464,2.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1465,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1466,4.0,Low (1-4),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1467,6.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1468,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1469,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1470,4.0,Low (1-4),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1471,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1472,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1473,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1475,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1476,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1477,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1478,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1480,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1481,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1482,6.0,Medium (5-7),Yale-NUS College,I’m not familiar enough with the organisation to form a solid opinion
1483,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1486,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1488,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1489,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1494,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1495,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1501,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1502,1.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1504,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1505,8.0,High (8-10),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1506,1.0,Low (1-4),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1507,10.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1510,8.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1512,8.0,High (8-10),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1514,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1515,6.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1516,10.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1518,6.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1519,9.0,High (8-10),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1520,6.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1521,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1523,5.0,Medium (5-7),National University of Singapore (NUS),I’m not familiar enough with the organisation to form a solid opinion
1524,8.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1526,3.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1528,7.0,Medium (5-7),National University of Singapore (NUS),I’m familiar with the organisation and would consider them as a potential employer
1530,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1531,5.0,Medium (5-7),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
1532,7.0,Medium (5-7),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1533,9.0,High (8-10),National University of Singapore (NUS),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
1534,4.0,Low (1-4),National University of Singapore (NUS),"I recognise the organisation by name, but don’t have a clear impression of them"
